2001 ms: 45 , is eating
2001 ms: 25 , is eating
2001 ms: 39 , has taken a fork
2001 ms: 39 , is eating
2001 ms: 43 , has taken a fork
2001 ms: 43 , is eating
2001 ms: 35 , has taken a fork
2001 ms: 35 , is eating
2001 ms: 5 , has taken a fork
2001 ms: 5 , is eating
2001 ms: 17 , has taken a fork
2001 ms: 17 , is eating
2001 ms: 33 , has taken a fork
2001 ms: 33 , is eating
2001 ms: 29 , has taken a fork
2001 ms: 29 , is eating
2001 ms: 11 , has taken a fork
2001 ms: 11 , is eating
2001 ms: 15 , has taken a fork
2001 ms: 15 , is eating
2001 ms: 19 , has taken a fork
2001 ms: 19 , is eating
2001 ms: 31 , is eating
2101 ms: 12 , is thinking
2101 ms: 46 , is thinking
2101 ms: 38 , is thinking
2101 ms: 16 , is thinking
2101 ms: 44 , is thinking
2101 ms: 40 , is thinking
2101 ms: 42 , is thinking
2101 ms: 8 , is thinking
2101 ms: 6 , is thinking
2101 ms: 36 , is thinking
2101 ms: 24 , is thinking
2101 ms: 28 , is thinking
2101 ms: 18 , is thinking
2101 ms: 4 , is thinking
2101 ms: 20 , is thinking
2101 ms: 22 , is thinking
2101 ms: 10 , is thinking
2101 ms: 30 , is thinking
2101 ms: 2 , is thinking
2101 ms: 48 , is thinking
2101 ms: 50 , is thinking
2101 ms: 34 , is thinking
2101 ms: 14 , is thinking
2101 ms: 26 , is thinking
2101 ms: 32 , is thinking
2200 ms: 1 , is sleeping
2201 ms: 37 , is sleeping
2201 ms: 9 , is sleeping
2201 ms: 29 , is sleeping
2201 ms: 41 , is sleeping
2201 ms: 5 , is sleeping
2201 ms: 33 , is sleeping
2201 ms: 49 , is sleeping
2201 ms: 12 , has taken a fork
2201 ms: 12 , is eating
2201 ms: 42 , has taken a fork
2201 ms: 42 , is eating
2201 ms: 45 , is sleeping
2201 ms: 11 , is sleeping
2201 ms: 50 , has taken a fork
2201 ms: 50 , is eating
2201 ms: 30 , has taken a fork
2201 ms: 30 , is eating
2201 ms: 47 , is sleeping
2201 ms: 35 , is sleeping
2201 ms: 10 , has taken a fork
2201 ms: 10 , is eating
2201 ms: 25 , is sleeping
2201 ms: 44 , has taken a fork
2201 ms: 44 , is eating
2201 ms: 19 , is sleeping
2201 ms: 15 , is sleeping
2201 ms: 26 , has taken a fork
2201 ms: 26 , is eating
2201 ms: 32 , has taken a fork
2201 ms: 32 , is eating
2201 ms: 6 , has taken a fork
2201 ms: 6 , is eating
2201 ms: 8 , has taken a fork
2201 ms: 8 , is eating
2201 ms: 46 , has taken a fork
2201 ms: 46 , is eating
2201 ms: 43 , is sleeping
2201 ms: 18 , has taken a fork
2201 ms: 18 , is eating
2201 ms: 27 , is sleeping
2201 ms: 17 , is sleeping
2201 ms: 31 , is sleeping
2201 ms: 34 , has taken a fork
2201 ms: 34 , is eating
2201 ms: 28 , has taken a fork
2201 ms: 28 , is eating
2201 ms: 39 , is sleeping
2201 ms: 2 , has taken a fork
2201 ms: 2 , is eating
2201 ms: 23 , is sleeping
2201 ms: 38 , has taken a fork
2201 ms: 38 , is eating
2201 ms: 4 , has taken a fork
2201 ms: 4 , is eating
2201 ms: 40 , has taken a fork
2201 ms: 40 , is eating
2201 ms: 36 , has taken a fork
2201 ms: 36 , is eating
2201 ms: 13 , is sleeping
2201 ms: 21 , is sleeping
2201 ms: 48 , has taken a fork
2201 ms: 48 , is eating
2201 ms: 3 , is sleeping
2201 ms: 16 , has taken a fork
2201 ms: 16 , is eating
2201 ms: 14 , has taken a fork
2201 ms: 14 , is eating
2201 ms: 7 , is sleeping
2201 ms: 20 , has taken a fork
2201 ms: 20 , is eating
